scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
drjohnson,drjohnson,20,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.012781143188476562,-0.00025641918182373047,-0.0015121102333068848,30.724279403686523,30.737060546875,0.8955485820770264,0.8958050012588501,0.2900550961494446,0.29156720638275146,54.56104278564453,0,28749758,0,0,358989,,,
drjohnson,drjohnson,21,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0180511474609375,-0.00034564733505249023,-0.0005630254745483398,28.266620635986328,28.284671783447266,0.883709192276001,0.8840548396110535,0.28215283155441284,0.2827158570289612,55.933204650878906,0,19367834,0,0,513386,,,
drjohnson,drjohnson,22,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.025094985961914062,-0.00038373470306396484,-0.0007540285587310791,23.04128074645996,23.016185760498047,0.8412243723869324,0.8416081070899963,0.31169936060905457,0.31245338916778564,54.07613754272461,0,15925368,0,0,294818,,,
drjohnson,drjohnson,23,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.020368576049804688,-0.00017082691192626953,-0.0009992420673370361,30.43243980407715,30.452808380126953,0.9190008640289307,0.9191716909408569,0.2506101429462433,0.2516093850135803,54.4876708984375,0,18788883,0,0,340517,,,
drjohnson,drjohnson,24,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.166046142578125,0.00412517786026001,-0.0012342333793640137,34.143096923828125,34.30914306640625,0.929120659828186,0.924995481967926,0.25850361585617065,0.25973784923553467,49.260955810546875,0,22150857,0,0,272101,,,
drjohnson,drjohnson,25,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.03661155700683594,-0.0011017918586730957,-0.0003317594528198242,25.883041381835938,25.919652938842773,0.8960410356521606,0.8971428275108337,0.29720795154571533,0.29753971099853516,51.079856872558594,0,19400716,0,0,358274,,,
drjohnson,drjohnson,26,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.15871238708496094,-0.0009489059448242188,-0.0004906952381134033,31.832427978515625,31.991140365600586,0.9054379463195801,0.9063868522644043,0.2942616939544678,0.2947523891925812,47.89593505859375,0,17232686,0,0,312140,,,
drjohnson,drjohnson,27,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.20273590087890625,0.0010022521018981934,-0.002662956714630127,31.129695892333984,30.926959991455078,0.9117409586906433,0.9107387065887451,0.3040046989917755,0.30666765570640564,43.06083297729492,0,19976139,0,0,236249,,,
drjohnson,drjohnson,28,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0072116851806640625,-0.00044912099838256836,-0.00012579560279846191,31.06435775756836,31.071569442749023,0.890018105506897,0.8904672265052795,0.3083866536617279,0.30851244926452637,53.99027633666992,0,28432357,0,0,951539,,,
drjohnson,drjohnson,29,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.06128692626953125,-0.0003097653388977051,-0.0013616681098937988,26.22248077392578,26.16119384765625,0.887099027633667,0.8874087929725647,0.22961151599884033,0.23097318410873413,52.04203414916992,0,32911041,0,0,741943,,,
drjohnson,drjohnson,30,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.016448974609375,-0.0005308985710144043,-0.0005078911781311035,25.516124725341797,25.532573699951172,0.8926371932029724,0.8931680917739868,0.27373260259628296,0.27424049377441406,56.046348571777344,0,28305280,0,0,578168,,,
drjohnson,drjohnson,31,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0051860809326171875,-0.0009565353393554688,-9.208917617797852e-05,28.693830490112305,28.699016571044922,0.8597785830497742,0.8607351183891296,0.22123317420482635,0.22132526338100433,53.17457580566406,0,17419942,0,0,683715,,,
