scene,camera,profile,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,guard_risky_gaussians,guard_repaired_gaussians,guard_dropped_gaussians,guard_quantized_non_psd_before,guard_final_non_psd,guard_raw_kvp,guard_final_kvp
drjohnson,15,eigen_floor,-0.0134010314941406,-0.0002182722091674,-0.0009297728538513,785,785,0,161,0,297830,298282
drjohnson,15,integer_pd,-0.0122299194335937,-0.0002179741859436,-0.0009282231330871,785,161,0,161,0,297830,298405
drjohnson,15,opacity_prune,-0.0079193115234375,-0.0002341270446777,-0.0009456872940063,785,0,785,161,0,297830,297717
drjohnson,15,no_guard,-0.0077667236328125,-0.000237762928009,-0.0009381175041198,785,0,0,161,161,297830,297830
drjohnson,16,wide_control,-0.01165771484375,-0.000157356262207,-0.0012213885784149,951,0,0,0,0,268083,268083
drjohnson,16,eigen_floor,-0.177896499633789,-0.0003876686096191,-0.0009571611881256,951,951,0,202,0,268083,270248
drjohnson,16,integer_pd,-0.177896499633789,-0.0003876686096191,-0.0009571611881256,951,202,0,202,0,268083,270248
drjohnson,16,opacity_prune,-0.2060470581054687,-0.0003949403762817,-0.000985562801361,951,0,951,202,0,268083,269218
drjohnson,16,no_guard,-0.2138004302978515,-0.0003942251205444,-0.0010119676589965,951,0,0,202,202,268083,268083
drjohnson,17,wide_control,-0.0057945251464843,-4.13060188293457e-05,-0.0005626380443572,856,0,0,0,0,426456,426456
drjohnson,17,eigen_floor,0.0014533996582031,0.0011128187179565,-0.0004316568374633,856,856,0,172,0,426456,422658
drjohnson,17,integer_pd,-0.0332221984863281,-0.000984787940979,-0.0004535317420959,856,172,0,172,0,426456,423637
drjohnson,17,opacity_prune,0.1482086181640625,0.0103688836097717,-0.0003811419010162,856,0,856,172,0,426456,417742
drjohnson,17,no_guard,-0.0291786193847656,-0.0039015412330627,-0.0006434321403503,856,0,0,172,172,426456,426456
drjohnson,18,wide_control,0.012481689453125,7.033348083496094e-06,-0.0013662576675415,288,0,0,0,0,354281,354281
drjohnson,18,eigen_floor,0.0231132507324218,1.0073184967041016e-05,-0.0014272928237915,288,288,0,74,0,354281,354117
drjohnson,18,integer_pd,0.0470256805419921,7.623434066772461e-05,-0.0014976859092712,288,74,0,74,0,354281,353147
drjohnson,18,opacity_prune,0.092132568359375,0.0004768371582031,-0.0018956065177917,288,0,288,74,0,354281,346293
drjohnson,18,no_guard,-0.4417667388916015,-0.0006718635559082,-0.0005276799201965,288,0,0,74,74,354281,354281
drjohnson,19,wide_control,0.0015182495117187,-0.0001159906387329,-0.0009216964244842,379,0,0,0,0,754581,754581
drjohnson,19,eigen_floor,0.0165653228759765,-0.0002493262290954,-0.0006677061319351,379,379,0,83,0,754581,754361
drjohnson,19,integer_pd,-0.0282859802246093,-0.0003166794776916,-0.000630646944046,379,83,0,83,0,754581,756080
drjohnson,19,opacity_prune,0.0584449768066406,-0.0002121925354003,-0.0006662905216217,379,0,379,83,0,754581,753721
drjohnson,19,no_guard,0.0135231018066406,-0.0002482533454895,-0.0006923377513885,379,0,0,83,83,754581,754581
drjohnson,20,wide_control,0.0060539245605468,-0.0001406073570251,-0.0012313723564147,662,0,0,0,0,560149,560149
drjohnson,20,eigen_floor,-0.0127811431884765,-0.0002564191818237,-0.0015121102333068,662,662,0,130,0,560149,559326
drjohnson,20,integer_pd,-0.0069217681884765,-0.0002572536468505,-0.0009716153144836,662,130,0,130,0,560149,561015
drjohnson,20,opacity_prune,-0.0388641357421875,-0.0001810789108276,-0.0016445517539978,662,0,662,130,0,560149,557466
drjohnson,20,no_guard,-0.0117225646972656,-0.0002315640449523,-0.0010203421115875,662,0,0,130,130,560149,560149
drjohnson,21,wide_control,-0.0014266967773437,-0.0001621842384338,-0.0006130337715148,788,0,0,1,1,324593,324593
